"filename", "language", "JavaScript", "Properties", "JSON", "HTML", "Markdown", "JavaScript JSX", "XML", "CSS", "MS SQL", "comment", "blank", "total"
"c:\Users\dell\Desktop\MargaretCafe\.env", "Properties", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Desktop\MargaretCafe\admin\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\dell\Desktop\MargaretCafe\admin\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\dell\Desktop\MargaretCafe\admin\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\dell\Desktop\MargaretCafe\admin\package-lock.json", "JSON", 0, 0, 4738, 0, 0, 0, 0, 0, 0, 0, 1, 4739
"c:\Users\dell\Desktop\MargaretCafe\admin\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\dell\Desktop\MargaretCafe\admin\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\Desktop\MargaretCafe\admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dell\Desktop\MargaretCafe\admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\dell\Desktop\MargaretCafe\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 2, 25
"c:\Users\dell\Desktop\MargaretCafe\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\AddMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 21, 167
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\MenuList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 18, 256
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\OrderChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\OrderList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 15, 180
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\RecentOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\SideNavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 5, 7, 98
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\StatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\dell\Desktop\MargaretCafe\admin\src\components\UpdateOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 14, 167
"c:\Users\dell\Desktop\MargaretCafe\admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\dell\Desktop\MargaretCafe\admin\src\layout\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 4, 23
"c:\Users\dell\Desktop\MargaretCafe\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\dell\Desktop\MargaretCafe\admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 10, 76
"c:\Users\dell\Desktop\MargaretCafe\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 2, 7, 78
"c:\Users\dell\Desktop\MargaretCafe\admin\src\pages\MenuManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 0, 7, 13, 185
"c:\Users\dell\Desktop\MargaretCafe\admin\tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\dell\Desktop\MargaretCafe\admin\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\authController.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 41
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\cartController.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 129
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\customerController.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 58
"c:\Users\dell\Desktop\MargaretCafe\backend\controller\dashboardController.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
